ACL v0.4 @ 0.01.cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
9.705952,9.197741,4.901505
10.000877,9.272579,4.901505
10.145559,9.287694,4.901505
10.196622,9.344813,4.918429
10.268979,9.344813,4.918429
10.268979,9.360165,4.918429
10.358823,9.391018,4.929066
10.358823,9.391018,4.93547
11.224821,9.504587,5.079563
11.224821,9.504587,5.079563
9.542498,8.489526,5.206221
9.67742,8.901734,4.859066
9.735538,9.273384,4.865206
9.735538,9.325797,4.882689
9.824561,9.386428,4.882689
9.892934,9.386428,4.906542
9.96119,9.432422,4.923274
11.154032,9.447853,4.943291
8.79752,8.518195,4.849389
9.54552,8.961715,4.852405
9.54552,9.013477,4.858448
9.73913,9.097551,4.862484
10.019476,9.097551,4.874636
10.180711,9.252174,4.874636
10.397779,9.344511,4.898096
11.016826,9.423511,4.925926
11.173269,9.438709,4.968796
11.282323,9.442517,4.968796
11.477323,4.874636,4.968796
7.909947,8.93258,5.218042
9.668161,9.156756,5.218042
9.833524,9.192248,4.854862
9.885786,9.24961,4.85884
10.117747,9.296746,4.87482
10.662471,9.355424,4.876825
10.754336,9.543662,4.985495
11.567369,10.479894,7.102726
8.353269,8.874769,5.223744
9.90272,8.897778,4.899857
9.999584,9.120728,4.912883
9.999584,9.120728,4.915899
10.296368,9.282844,4.924969
10.710655,9.326087,4.941176
11.111934,9.510689,4.941176
11.111934,9.521997,4.957491
11.44,9.563694,4.971854
11.580622,9.563694,4.971854
11.723313,9.648192,5.077996
11.857848,9.993344,5.152048
9.246437,8.880292,4.859597
9.352167,8.880292,4.8664
9.400039,9.311902,4.890854
9.438324,9.365665,4.906634
10.123569,9.376493,4.923513
10.4362,9.405489,4.933496
11.022424,9.420054,4.969771
11.176848,9.438324,5.001439
11.176848,9.508402,5.001439
7.931118,8.627451,5.234757
9.31481,8.731396,4.868603
9.319213,9.058824,4.868603
9.326268,9.058824,4.874382
10.022371,9.256198,4.874382
10.02543,9.273617,4.889859
10.02543,9.308651,4.892772
10.208182,9.340409,4.906412
10.421909,9.368821,4.912281
10.432941,9.408171,4.930959
10.593293,9.415361,4.976772
10.743405,9.469639,4.97979
10.835532,9.54299,4.986845
10.924407,9.565217,4.986845
10.924407,9.565217,5.131196
11.611687,10.077709,5.424923
7.790164,8.505966,4.86221
9.711172,8.659493,4.872656
9.825915,8.806212,4.880282
9.825915,9.016263,4.880282
10.222495,9.016263,4.89945
10.638806,9.105109,4.901375
10.654709,9.105109,4.906195
10.7211,9.361351,4.991597
10.7211,9.393072,4.994595
10.832827,9.467932,4.994595
11.034056,9.580646,5.005618
11.034056,9.580646,5.005618
9.597568,8.899225,4.876617
9.757002,8.899225,4.882273
9.890738,9.078361,4.885107
9.912087,9.298969,4.888889
9.964885,9.395833,4.903126
9.964885,9.420365,4.918403
9.970786,9.437967,4.944401
10.124674,9.44856,4.957016
10.275021,9.455634,4.957016
10.477494,9.459176,5.017084
10.848797,9.566667,5.017084
10.848797,9.566667,5.030074
11.500911,9.658126,5.056256
12.215719,9.912087,5.270451
13.271676,9.998417,5.412773
8.884101,8.966679,5.25036
9.296,9.08135,5.25036
9.729401,9.336742,5.25036
10.203153,9.381285,4.892632
10.276985,9.405445,4.904835
10.417278,9.415838,4.910488
10.618484,9.415838,4.911431
10.827616,9.415838,4.917099
10.892202,9.492759,4.952344
10.892202,9.570948,5.000782
11.097895,9.716457,5.063181
7.800995,9.22353,5.255332
8.919842,9.350199,4.91023
9.582222,9.43889,4.912094
10.215992,9.456141,4.915827
10.510664,9.501286,4.924248
10.856903,9.539823,4.97156
11.070603,9.553914,4.983051
11.280576,9.57513,5.039346
11.69356,9.744633,5.104972
11.69356,9.744633,5.104972
9.792407,8.968825,4.876141
9.836558,8.999657,4.893458
10.086688,9.008947,4.899869
10.286837,9.090278,4.909057
10.358062,9.407115,4.919203
10.627156,9.444445,4.934967
10.752644,9.47178,4.952705
10.799216,9.475208,5.001911
10.851813,9.635628,5.052104
10.894715,9.725111,5.059915
10.894715,9.725111,5.059915
11.083827,9.958159,5.334148
9.327581,8.384932,4.900648
9.785002,9.00646,4.907912
9.788618,9.031026,4.91611
9.867014,9.04336,4.925251
9.940145,9.353107,4.925251
10.387451,9.39624,4.928917
10.418093,9.446505,4.933507
10.544586,9.480315,4.960299
10.794906,9.565908,4.960299
10.801509,9.569365,4.970539
11.042418,9.688369,5.069474
11.470391,9.817643,5.096786
11.470391,9.817643,5.096786
13.323944,10.102212,5.460318
9.552941,9.019185,4.899616
9.940091,9.129812,4.908591
9.954862,9.323591,4.914894
9.957637,9.375788,4.92302
10.192469,9.402105,4.932082
10.233339,9.41863,4.932082
10.431533,9.465207,4.938445
10.819016,9.57,4.974197
10.997743,9.625,4.979743
9.538624,9.031656,4.902152
10.11249,9.349431,4.941477
10.278347,9.359116,4.941477
10.355908,9.359116,4.954122
10.355908,9.381793,4.971386
10.564802,9.434041,4.979607
10.644673,9.486875,5.009982
10.680327,9.490196,5.015544
10.680327,9.49352,5.02298
10.82212,9.526889,5.02298
10.82212,9.577385,5.061438
11.083214,9.590941,5.061438
11.152762,9.590941,5.061438
11.447154,9.662745,5.171532
11.505466,9.662745,5.171532
12.91897,9.75666,5.350178
9.459753,9.355632,4.930216
9.904968,9.355632,4.936431
10.089997,9.355632,4.93732
10.124469,9.41023,4.94088
10.142262,9.423169,4.94088
10.142262,9.498267,4.983094
10.469588,9.577917,4.993988
10.48962,9.577917,5.01592
10.48962,9.591323,5.060366
10.874541,9.611501,5.060366
11.187429,9.696498,5.116088
11.818065,9.696498,5.142
11.818065,9.696498,5.142
10.295264,8.898876,4.896661
10.295264,9.121422,4.896661
10.321139,9.32078,4.928
10.321139,9.32078,4.990997
10.452489,9.499658,4.994595
10.476191,9.631689,5.011752
10.596331,9.638387,5.011752
10.596331,9.665272,5.023559
10.629853,9.665272,5.023559
10.954357,9.672017,5.045504
10.954357,9.672017,5.102153
11.271729,9.68892,5.102153
12.048245,9.68892,5.153374
8.756014,9.189508,5.287304
10.117498,9.283869,4.9293
10.143128,9.283869,4.944954
10.572614,9.383327,4.968623
10.724316,9.546322,5.006788
11.481004,9.549574,5.052821
11.481004,9.559345,5.052821
11.751782,9.641555,5.127698
11.751782,9.641555,5.127698
9.697468,9.423346,4.932289
9.697468,9.638095,5.001059
10.410949,9.67099,5.015221
10.75064,9.7643,5.065427
11.024609,9.7643,5.065427
12.121057,9.774405,5.144517
12.121057,9.774405,5.144517
9.381478,8.711679,5.295619
9.850916,9.154363,5.295619
10.629558,9.20437,4.929272
10.736132,9.484768,4.949715
10.736132,9.538462,4.949715
10.771458,9.538462,4.96
10.816199,9.573529,4.960859
10.87678,9.70654,5.034095
11.221939,9.816313,5.12782
11.67832,9.816313,5.12782
11.67832,9.90799,5.12782
10.222261,9.110132,4.916285
10.322489,9.136005,4.938087
10.328934,9.26464,4.957534
10.328934,9.366548,5.002073
10.453873,9.492459,5.002073
10.453873,9.599469,5.022029
10.481311,9.599469,5.022029
10.481311,9.61541,5.022901
10.649991,9.61541,5.036882
10.808026,9.666778,5.036882
10.808026,9.666778,5.044781
11.28953,9.679706,5.085544
11.28953,9.679706,5.085544
11.413029,9.721961,5.114291
11.610989,9.721961,5.117907
11.627309,9.731765,5.117907
11.819555,9.731765,5.132423
11.893601,9.735037,5.132423
11.893601,9.894737,5.154353
9.685534,9.044823,4.930907
10.121941,9.072868,4.947582
10.259467,9.135186,4.950093
10.323719,9.135186,4.971962
10.846075,9.457013,5.062284
10.93423,9.496917,5.078098
10.93423,9.634508,5.078098
11.123361,9.691951,5.086926
12.447091,9.727393,5.086926
12.447091,9.727393,5.086926
9.348087,9.120296,5.307485
10.399367,9.168372,4.948619
10.594052,9.61561,4.983651
10.610209,9.621868,5.016627
10.610209,9.774546,5.182822
10.837716,9.774546,5.182822
11.243654,9.823256,5.248137
12.596869,9.955556,5.278115
9.406801,9.03417,4.959496
10.108611,9.206779,4.973531
10.691,9.496504,4.990979
10.850191,9.56032,4.993482
10.97777,9.56032,4.996822
10.97777,9.706303,4.996822
11.170686,9.706303,5.027091
11.170686,9.715773,5.027091
11.468714,9.725261,5.154589
10.747374,9.177258,5.31502
11.080764,9.253219,4.975111
11.160658,9.803183,5.080626
11.160658,9.803183,5.080626
11.323955,9.825521,5.109005
11.323955,9.825521,5.109005
8.928843,8.981443,5.318681
8.928843,8.981443,5.318681
9.579642,9.307693,4.931587
10.244246,9.307693,4.970171
10.620689,9.510917,5.005253
10.620689,9.634123,5.005253
10.831971,9.655478,5.071856
10.831971,9.655478,5.088785
10.849315,9.732525,5.088785
10.849315,9.75744,5.097292
11.130498,9.75744,5.097292
11.26413,9.763689,5.09985
11.26413,9.763689,5.09985
10.080183,8.984831,4.984625
10.210509,9.319213,4.991087
10.23766,9.319213,5
10.28896,9.55928,5.01547
10.454854,9.589041,5.090909
10.744811,9.615985,5.090909
11.099099,9.63102,5.093435
11.119134,9.945108,5.141045
11.119134,9.951534,5.28937
12.229502,9.996755,5.315844
9.452446,9.040395,4.962195
9.452446,9.176401,5.012568
10.417951,9.322145,5.014184
10.615253,9.322145,5.028775
10.615253,9.344548,5.063151
10.854152,9.344548,5.063975
11.023388,9.577586,5.063975
11.023388,9.586441,5.092993
11.181884,9.595311,5.092993
11.185905,9.595311,5.092993
11.248599,9.616075,5.13164
11.248599,9.645891,5.13164
11.349143,9.645891,5.141818
11.367805,9.687947,5.141818
11.52575,9.709114,5.188126
11.52575,9.724289,5.188126
12.264144,9.724289,5.368076
12.264144,9.77317,5.368076
12.337101,9.77317,5.64881
9.836712,9.34166,4.947402
9.836712,9.34166,4.947402
10.563551,9.566382,4.959899
10.747862,9.648648,4.959899
10.747862,9.648648,4.982712
10.815389,9.669436,5.109954
10.815389,9.669436,5.109954
11.38364,9.696297,5.120782
11.38364,9.696297,5.120782
11.402232,9.750465,5.129143
11.402232,9.750465,5.129143
11.614048,9.808305,5.134172
11.614048,9.808305,5.134172
11.735525,9.848276,5.182448
11.735525,9.848276,5.182448
11.820525,9.866835,5.205634
11.820525,9.866835,5.205634
9.263158,8.36824,4.943743
10.289977,8.553248,4.973193
10.482941,9.200696,4.984132
10.680582,9.200696,4.984132
10.754809,9.558301,4.996692
10.754809,9.587187,5.001419
11.149811,9.654291,5.022799
11.365518,9.737262,5.037955
11.365518,9.907557,5.251449
12.013254,9.907557,5.251449
13.537017,10.210492,5.402588
9.604797,9.066516,5.335999
9.619219,9.144162,4.954679
10.345418,9.228464,4.976231
10.414371,9.233785,4.979325
10.541177,9.276571,4.9801
10.541177,9.366082,4.981648
10.601357,9.366082,4.989408
10.643628,9.482534,4.997192
