ACL v0.4 @ 0.01cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
10.02543,8.768683,4.870378
10.026667,8.769897,4.870482
10.028064,8.772756,4.87053
10.028064,8.772756,4.87053
10.043478,8.775287,4.870997
10.061117,8.776325,4.871186
10.080058,8.777935,4.871186
10.080183,8.781287,4.871228
10.086688,8.781561,4.871801
10.089997,8.782351,4.872182
10.097962,8.786981,4.872211
10.097962,8.787288,4.872656
10.106018,8.787288,4.872811
10.106483,8.787447,4.872906
10.108611,8.787447,4.873194
10.11249,8.789293,4.873529
10.117498,8.789536,4.874382
10.117747,8.789773,4.874382
10.121941,8.789954,4.874431
10.123569,8.789954,4.874517
10.124469,8.790151,4.87456
10.124674,8.792388,4.874636
10.134126,8.795917,4.874636
10.134609,8.796418,4.87482
10.134609,8.797888,4.875357
10.14054,8.797939,4.875989
10.14054,8.797939,4.876141
10.142262,8.8,4.876414
10.142262,8.8,4.876532
10.143128,8.805353,4.876617
10.145559,8.805353,4.876825
10.147779,8.806212,4.876832
10.151522,8.807511,4.876979
10.151522,8.807873,4.877897
10.169274,8.809153,4.877918
10.171928,8.810232,4.878104
10.171928,8.81259,4.878168
10.176058,8.81259,4.878255
10.180711,8.815414,4.878255
10.184578,8.815742,4.879028
10.192469,8.816322,4.879028
10.196622,8.816954,4.879208
10.200323,8.817163,4.879208
10.203153,8.817325,4.879752
10.204689,8.820068,4.879752
10.204689,8.820489,4.879908
10.208182,8.823407,4.880036
10.210509,8.823606,4.880282
10.214094,8.824029,4.880282
10.215992,8.824142,4.881029
10.221053,8.825684,4.881178
10.222261,8.825958,4.881178
10.222495,8.827519,4.881287
10.223485,8.827556,4.881287
10.223485,8.829278,4.882135
10.224681,8.829713,4.882251
10.229211,8.829983,4.882273
10.229372,8.830276,4.882293
10.229372,8.830276,4.882312
10.233339,8.831577,4.882312
10.23766,8.831751,4.882584
10.244246,8.832117,4.882689
10.259467,8.832996,4.882689
10.25964,8.835121,4.883704
10.262866,8.838852,4.883704
10.262866,8.840861,4.883757
10.268979,8.841474,4.883757
10.268979,8.841618,4.884161
10.275021,8.842062,4.884328
10.276985,8.845491,4.884328
10.278347,8.846376,4.885107
10.282625,8.847315,4.885254
10.285271,8.847397,4.885413
10.286837,8.847397,4.885486
10.28896,8.849578,4.885523
10.289977,8.849871,4.885702
10.295264,8.850574,4.885962
10.295264,8.854675,4.886187
10.295751,8.85929,4.886256
10.296368,8.861522,4.886495
10.303465,8.865967,4.886672
10.303465,8.866767,4.886692
10.30687,8.86887,4.886798
10.307151,8.86911,4.888276
10.310676,8.87029,4.888479
10.316145,8.87228,4.888479
10.316145,8.872283,4.8885
10.319963,8.873228,4.888889
10.321139,8.8733,4.889086
10.321139,8.874769,4.889177
10.322489,8.875951,4.889301
10.323719,8.876563,4.889859
10.328934,8.876563,4.889999
10.328934,8.877005,4.890102
10.330011,8.879736,4.890854
10.330011,8.880292,4.890927
10.332903,8.880292,4.891375
10.336396,8.880948,4.891774
10.336396,8.881282,4.892632
10.341303,8.884615,4.892772
10.341859,8.887846,4.893023
10.345418,8.889235,4.893145
10.351699,8.889644,4.893145
10.351699,8.889828,4.893204
10.355578,8.890995,4.893458
10.355908,8.890995,4.89368
10.355908,8.894301,4.893952
10.358062,8.894855,4.894126
10.358823,8.894962,4.894727
10.358823,8.895143,4.894938
10.360196,8.897196,4.895147
10.360856,8.897196,4.896111
10.36305,8.897778,4.896661
10.36305,8.897778,4.896661
10.364354,8.898664,4.896774
10.368093,8.898876,4.896924
10.373164,8.899225,4.896924
10.373164,8.899225,4.897133
10.375134,8.899716,4.897394
10.383361,8.901734,4.897547
10.387451,8.901772,4.897547
10.387858,8.903548,4.897723
10.389597,8.903548,4.898096
10.389597,8.903548,4.898401
10.393579,8.90364,4.898885
10.393579,8.904074,4.899069
10.394822,8.904411,4.899095
10.394822,8.909752,4.899213
10.397779,8.909881,4.89945
10.399367,8.91048,4.899616
10.400386,8.91188,4.899657
10.403753,8.912761,4.899857
10.403753,8.912868,4.899869
10.410949,8.917058,4.899929
10.411748,8.92136,4.900134
10.414371,8.922563,4.900383
10.416298,8.922885,4.900557
10.416961,8.922885,4.900648
10.417278,8.924179,4.901129
10.417951,8.924343,4.901284
10.418093,8.925764,4.901375
10.421909,8.925764,4.901505
10.424034,8.926149,4.901505
10.428535,8.927536,4.901505
10.430096,8.927536,4.901654
10.431533,8.927536,4.901776
10.432941,8.930473,4.901872
10.4362,8.93095,4.902152
10.446043,8.931234,4.902296
10.452489,8.931458,4.902728
10.453873,8.931458,4.902974
10.453873,8.93232,4.903126
10.454667,8.93258,4.903494
10.454667,8.940417,4.903494
10.454854,8.940417,4.903901
10.459786,8.940562,4.903926
10.459786,8.940652,4.904202
10.459786,8.940941,4.904814
10.460465,8.941232,4.904835
10.460592,8.941321,4.904894
10.460592,8.942913,4.905438
10.463948,8.943474,4.905905
10.469588,8.94452,4.905905
10.476191,8.945112,4.906156
10.476518,8.945801,4.906156
10.477494,8.946612,4.90617
10.481311,8.949561,4.906195
10.481311,8.949857,4.906412
10.482403,8.951724,4.906542
10.482403,8.953994,4.906634
10.482941,8.957143,4.907252
10.488798,8.958223,4.90728
10.488798,8.96,4.907322
10.489291,8.9607,4.907322
10.48962,8.9607,4.907418
10.48962,8.961715,4.907435
10.498569,8.963437,4.907766
10.510386,8.966679,4.907769
10.510664,8.96734,4.907782
10.514936,8.96734,4.907797
10.514936,8.967464,4.907797
10.515507,8.968825,4.907912
10.515507,8.969632,4.908016
10.516392,8.969697,4.908311
10.516392,8.974859,4.908591
10.522523,8.975715,4.908642
10.522523,8.976936,4.908941
10.523868,8.977213,4.909057
10.52518,8.981443,4.909144
10.528278,8.981443,4.909144
10.535428,8.98158,4.909149
10.535428,8.982821,4.909193
10.541177,8.982821,4.909211
10.541177,8.983334,4.909211
10.544586,8.983593,4.909526
10.544586,8.983593,4.909526
10.545491,8.984536,4.909685
10.546656,8.984831,4.909685
10.546656,8.985193,4.909871
10.547282,8.985414,4.910151
10.548154,8.985476,4.910195
10.552652,8.986081,4.91023
10.557258,8.987342,4.910268
10.558333,8.994965,4.910488
10.559027,8.996805,4.91052
10.560425,8.99744,4.910668
10.560425,8.999089,4.910668
10.563551,8.999657,4.910739
10.564802,9.000801,4.911046
